type,task,fold,autosklearn,autoweka,constantpredictor,h2oautoml,randomforest,tpot,tunedrandomforest
binary,adult,0,1.0,6.0,7.0,3.0,4.0,2.0,5.0
binary,adult,1,1.0,6.0,7.0,2.0,4.0,3.0,5.0
binary,adult,2,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,adult,3,3.0,6.0,7.0,1.0,4.0,2.0,5.0
binary,adult,4,3.0,4.0,7.0,1.0,5.0,2.0,6.0
binary,adult,5,1.0,4.0,7.0,2.0,6.0,3.0,5.0
binary,adult,6,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,adult,7,1.0,6.0,7.0,3.0,5.0,2.0,4.0
binary,adult,8,1.0,6.0,7.0,3.0,5.0,2.0,4.0
binary,adult,9,2.0,6.0,7.0,3.0,5.0,1.0,4.0
binary,airlines,0,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,airlines,1,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,airlines,2,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,airlines,3,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,airlines,4,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,airlines,5,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,airlines,6,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,airlines,7,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,airlines,8,3.0,6.0,7.0,1.0,5.0,2.0,4.0
binary,airlines,9,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,albert,0,2.0,,6.0,1.0,3.0,5.0,4.0
binary,albert,1,,,5.0,1.0,2.0,4.0,3.0
binary,albert,2,2.0,,6.0,1.0,3.0,5.0,4.0
binary,albert,3,2.0,,6.0,1.0,3.0,5.0,4.0
binary,albert,4,2.0,,6.0,1.0,5.0,3.0,4.0
binary,albert,5,,,5.0,1.0,3.0,4.0,2.0
binary,albert,6,2.0,,6.0,1.0,4.0,5.0,3.0
binary,albert,7,,,5.0,1.0,2.0,4.0,3.0
binary,albert,8,2.0,,6.0,1.0,4.0,5.0,3.0
binary,albert,9,1.0,,6.0,2.0,3.0,5.0,4.0
binary,amazon_employee_access,0,5.0,6.0,7.0,1.0,4.0,3.0,2.0
binary,amazon_employee_access,1,5.0,6.0,7.0,1.0,3.0,2.0,4.0
binary,amazon_employee_access,2,6.0,3.0,7.0,1.0,5.0,2.0,4.0
binary,amazon_employee_access,3,5.0,6.0,7.0,1.0,3.0,4.0,2.0
binary,amazon_employee_access,4,2.0,6.0,7.0,1.0,3.0,5.0,4.0
binary,amazon_employee_access,5,5.0,6.0,7.0,1.0,2.0,4.0,3.0
binary,amazon_employee_access,6,5.0,6.0,7.0,2.0,4.0,1.0,3.0
binary,amazon_employee_access,7,6.0,5.0,7.0,1.0,3.0,2.0,4.0
binary,amazon_employee_access,8,5.0,6.0,7.0,1.0,3.0,2.0,4.0
binary,amazon_employee_access,9,5.0,6.0,7.0,1.0,4.0,2.0,3.0
binary,apsfailure,0,2.0,1.0,7.0,4.0,5.0,3.0,6.0
binary,apsfailure,1,4.0,3.0,7.0,5.0,2.0,6.0,1.0
binary,apsfailure,2,2.0,6.0,7.0,1.0,4.0,5.0,3.0
binary,apsfailure,3,5.0,6.0,7.0,2.0,4.0,1.0,3.0
binary,apsfailure,4,1.0,6.0,7.0,5.0,2.0,3.0,4.0
binary,apsfailure,5,2.0,5.0,7.0,1.0,3.0,4.0,6.0
binary,apsfailure,6,4.0,6.0,7.0,1.0,2.0,5.0,3.0
binary,apsfailure,7,3.0,6.0,7.0,2.0,4.0,1.0,5.0
binary,apsfailure,8,4.0,6.0,7.0,5.0,2.0,3.0,1.0
binary,apsfailure,9,5.0,6.0,7.0,4.0,1.0,2.0,3.0
binary,australian,0,1.0,3.0,7.0,4.0,2.0,5.0,6.0
binary,australian,1,2.0,1.0,6.0,3.0,5.0,4.0,4.0
binary,australian,2,2.0,4.0,6.0,1.0,3.0,1.0,5.0
binary,australian,3,5.0,1.0,6.0,4.0,2.0,3.0,3.0
binary,australian,4,4.0,1.0,6.0,2.0,3.0,5.0,4.0
binary,australian,5,4.0,5.0,6.0,2.0,3.0,1.0,3.0
binary,australian,6,2.0,1.0,6.0,4.0,3.0,5.0,3.0
binary,australian,7,3.0,6.0,7.0,5.0,4.0,1.0,2.0
binary,australian,8,6.0,5.0,7.0,3.0,4.0,1.0,2.0
binary,australian,9,1.0,5.0,7.0,4.0,2.0,3.0,6.0
binary,bank-marketing,0,1.0,6.0,7.0,2.0,5.0,3.0,4.0
binary,bank-marketing,1,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,bank-marketing,2,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,bank-marketing,3,2.0,6.0,7.0,1.0,4.0,3.0,5.0
binary,bank-marketing,4,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,bank-marketing,5,1.0,6.0,7.0,2.0,4.0,3.0,5.0
binary,bank-marketing,6,3.0,6.0,7.0,1.0,5.0,2.0,4.0
binary,bank-marketing,7,1.0,6.0,7.0,2.0,4.0,3.0,5.0
binary,bank-marketing,8,1.0,6.0,7.0,2.0,5.0,3.0,4.0
binary,bank-marketing,9,1.0,6.0,7.0,2.0,5.0,3.0,4.0
binary,blood-transfusion,0,1.0,2.0,7.0,5.0,4.0,6.0,3.0
binary,blood-transfusion,1,2.0,3.0,7.0,1.0,5.0,4.0,6.0
binary,blood-transfusion,2,4.0,2.0,7.0,1.0,6.0,3.0,5.0
binary,blood-transfusion,3,1.0,5.0,7.0,2.0,3.0,6.0,4.0
binary,blood-transfusion,4,1.0,3.0,7.0,6.0,4.0,5.0,2.0
binary,blood-transfusion,5,2.0,3.0,7.0,1.0,4.0,6.0,5.0
binary,blood-transfusion,6,3.0,4.0,7.0,1.0,6.0,2.0,5.0
binary,blood-transfusion,7,2.0,3.0,7.0,1.0,6.0,4.0,5.0
binary,blood-transfusion,8,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,blood-transfusion,9,3.0,2.0,7.0,4.0,5.0,1.0,6.0
binary,christine,0,1.0,4.0,7.0,3.0,6.0,2.0,5.0
binary,christine,1,1.0,4.0,7.0,2.0,6.0,3.0,5.0
binary,christine,2,1.0,6.0,7.0,3.0,5.0,2.0,4.0
binary,christine,3,2.0,4.0,7.0,3.0,6.0,1.0,5.0
binary,christine,4,1.0,6.0,7.0,2.0,3.0,5.0,4.0
binary,christine,5,1.0,6.0,7.0,2.0,5.0,3.0,4.0
binary,christine,6,1.0,4.0,7.0,2.0,6.0,3.0,5.0
binary,christine,7,1.0,5.0,7.0,2.0,6.0,3.0,4.0
binary,christine,8,2.0,4.0,7.0,1.0,5.0,3.0,6.0
binary,christine,9,1.0,4.0,7.0,2.0,6.0,5.0,3.0
binary,credit-g,0,5.0,6.0,7.0,3.0,1.0,4.0,2.0
binary,credit-g,1,3.0,5.0,7.0,4.0,1.0,6.0,2.0
binary,credit-g,2,1.0,6.0,7.0,2.0,4.0,5.0,3.0
binary,credit-g,3,1.0,5.0,7.0,2.0,4.0,3.0,6.0
binary,credit-g,4,5.0,2.0,7.0,3.0,1.0,6.0,4.0
binary,credit-g,5,5.0,6.0,7.0,1.0,3.0,4.0,2.0
binary,credit-g,6,5.0,3.0,7.0,4.0,2.0,6.0,1.0
binary,credit-g,7,3.0,6.0,7.0,5.0,4.0,1.0,2.0
binary,credit-g,8,1.0,6.0,7.0,3.0,5.0,2.0,4.0
binary,credit-g,9,5.0,6.0,7.0,4.0,2.0,3.0,1.0
binary,guiellermo,0,2.0,5.0,7.0,1.0,3.0,6.0,4.0
binary,guiellermo,1,4.0,6.0,7.0,1.0,3.0,5.0,2.0
binary,guiellermo,2,4.0,5.0,7.0,1.0,3.0,6.0,2.0
binary,guiellermo,3,2.0,6.0,7.0,1.0,3.0,5.0,4.0
binary,guiellermo,4,4.0,5.0,7.0,1.0,3.0,6.0,2.0
binary,guiellermo,5,2.0,5.0,7.0,1.0,4.0,6.0,3.0
binary,guiellermo,6,3.0,5.0,7.0,1.0,4.0,6.0,2.0
binary,guiellermo,7,2.0,6.0,7.0,1.0,4.0,5.0,3.0
binary,guiellermo,8,2.0,6.0,7.0,1.0,3.0,5.0,4.0
binary,guiellermo,9,2.0,6.0,7.0,1.0,3.0,5.0,4.0
binary,higgs,0,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,higgs,1,2.0,5.0,7.0,1.0,6.0,3.0,4.0
binary,higgs,2,2.0,3.0,7.0,1.0,5.0,6.0,4.0
binary,higgs,3,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,higgs,4,2.0,5.0,7.0,1.0,6.0,3.0,4.0
binary,higgs,5,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,higgs,6,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,higgs,7,2.0,6.0,7.0,1.0,3.0,5.0,4.0
binary,higgs,8,2.0,6.0,7.0,1.0,5.0,3.0,4.0
binary,higgs,9,2.0,6.0,7.0,1.0,4.0,3.0,5.0
binary,jasmine,0,5.0,6.0,7.0,4.0,2.0,3.0,1.0
